road_number,road_name,hierarchy,route_num,distinct_names
01000,"Stuart Highway",Highway,A87,1
01100,"The Outback Highway",Sub-arterial,B83,2
01503,"Olympic Dam Highway",Arterial,B97,1
01506,"Andamooka Road",Sub-arterial,,2
02000,"Eyre Highway",Highway,A1,6
02011,"Mckenzie Street",Sub-arterial,,1
02200,"Flinders Highway",Arterial,B100,4
02203,"Streaky Bay Road",Sub-arterial,,1
02206,"Elliston Stock Route",Sub-arterial,,3
02400,"Tod Highway",Arterial,B90,4
02406,"Birdseye Highway",Arterial,B91,2
02409,"Birdseye Highway",Arterial,B91,4
02412,"Bratten Way",Sub-arterial,,2
02413,"Bratten Road",Sub-arterial,,2
02415,"Western Approach Road",Arterial,B100,4
02418,"New West Road",Sub-arterial,,2
02421,"Tasman Terrace",Sub-arterial,,2
02427,"London Street",Sub-arterial,,1
02430,"Mortlock Terrace",Sub-arterial,,2
02600,"Lincoln Highway",Arterial,B100,6
02603,"Arno Bay Road",Sub-arterial,,2
02606,"Cleve Road",Sub-arterial,,2
02609,"Cowell-kimba Road",Sub-arterial,,3
02800,"Cowell-kimba Road",Sub-arterial,,2
02803,"Iron Knob Road",Sub-arterial,,4
02806,"Norrie Avenue",Sub-arterial,,2
02809,"Nicolson Avenue",Sub-arterial,,2
02812,"Jenkins Avenue",Sub-arterial,,1
02815,"Mcbryde Terrace",Sub-arterial,,1
02818,"Whitehead Street",Sub-arterial,,1
02821,"Darling Terrace",Sub-arterial,,1
02824,"Broadbent Terrace",Sub-arterial,,1
03000,"R M Williams Way",Arterial,B80,3
03003,"Horrocks Highway",Arterial,B82,2
03006,"Flinders Ranges Way",Arterial,B83,4
03160,"Horrocks Highway",Arterial,B82,12
03163,"Willowie Road",Arterial,B56,6
03320,"Germein Gorge Road",Sub-arterial,,1
03323,"Price Maurice Road",Sub-arterial,,5
03326,"Appila Road",Sub-arterial,,3
03329,"R M Williams Way",Arterial,B80,6
03332,"Beniah Road",Arterial,B79,4
03335,"Cleary Road",Sub-arterial,,3
03400,"Barrier Highway",Highway,A32,16
03480,"Spencer Highway",Arterial,B89,2
03483,"Warnertown Road",Arterial,B89,1
03486,"Spencer Highway",Arterial,B89,2
03492,"Wilkins Highway",Arterial,B79,4
03497,"Goyder Highway",Arterial,B64,5
03498,"Goyder Highway",Arterial,B64,2
03500,"Augusta Highway",Highway,A1,5
03501,"Clements Road",Arterial,,1
03510,"Port Wakefield Ramp To Kadina",Arterial,B85,1
03580,"Wilkins Highway",Arterial,B78,3
03583,"Goyder Highway",Arterial,B64,2
03680,"Spencer Highway",Arterial,B89,7
03683,"Upper Yorke Road",Sub-arterial,,2
03685,"Main Road",Sub-arterial,,9
03686,"Rail Corridor Road",Sub-arterial,,2
03689,"Stone Cutter Road",Sub-arterial,,2
03692,"Goyder Highway",Arterial,B64,2
03840,"Bute Road",Sub-arterial,,3
03843,"Upper Yorke Road",Sub-arterial,,1
03846,"Barunga Gap Road",Sub-arterial,,1
03849,"Condowie Plain Road",Sub-arterial,,2
03855,"Blyth Road",Sub-arterial,,2
03858,"Blyth Plains Road",Sub-arterial,,1
03861,"Farrell Flat Road",Sub-arterial,,1
03864,"Saddleworth Road",Arterial,B84,3
03867,"Curio Highway",Arterial,B84,6
03870,"Worlds End Highway",Sub-arterial,,4
03873,"Thiele Highway",Arterial,B81,6
03876,"Eudunda Road",Sub-arterial,,1
04000,"Yorke Highway",Arterial,B86,2
04002,"Marion Bay Road",Sub-arterial,,1
04003,"St Vincent Highway",Sub-arterial,B88,7
04004,"St Vincent Highway",Arterial,B88,4
04006,"St Vincent Highway",Arterial,B88,4
04009,"St Vincent Highway",Arterial,B86,4
04012,"Yorke Highway",Arterial,B86,3
04015,"Spencer Highway",Sub-arterial,B86,8
04016,"Upper Yorke Road",Sub-arterial,B89,6
04018,"Minlaton Road",Sub-arterial,,2
04021,"Port Vincent Road",Sub-arterial,,5
04025,"Wauraltee Road",Sub-arterial,,2
04027,"Yorke Highway",Arterial,B86,2
04120,"Port Victoria Road",Sub-arterial,,1
04123,"Maitland Road",Sub-arterial,,4
04126,"Mines Road",Sub-arterial,B89,3
04127,"Spencer Highway",Sub-arterial,B89,4
04138,"Spencer Highway",Sub-arterial,B89,2
04141,"Copper Coast Highway",Arterial,B85,8
04144,"East Terrace",Sub-arterial,,1
04156,"Hughes Street",Arterial,B85-B89,2
04159,"Spencer Highway",Arterial,B89,3
04238,"Owen Road",Sub-arterial,,3
04240,"Traeger Road",Sub-arterial,,5
04243,"Balaklava Road",Arterial,B84,3
04249,"Marrabel Road",Sub-arterial,,2
04252,"Tarlee Road",Sub-arterial,,3
04360,"Thiele Highway",Arterial,B81,3
04363,"Truro Road",Sub-arterial,,1
04366,"Greenock Road",Sub-arterial,,3
04372,"Hanson Street",Sub-arterial,,3
04373,"Daveyston Road",Sub-arterial,,1
04375,"Mudla Wirra Road",Sub-arterial,,1
04378,"Mallala Road",Sub-arterial,B77,2
04381,"Redbanks Road",Sub-arterial,,1
04384,"Barossa Valley Way",Arterial,B19,4
04387,"Angaston Road",Arterial,B10,3
04390,"Two Wells Road",Sub-arterial,B77,2
